$Culture,$Criticality,$Criticality Modifier,$Initial Known,$Inter-Dependency,$Dynamism,$Size,$Plan,$Team Size,<$Cost,<$Score,<$Idle
0.44455,1.15096,94.64543,0.64887,68.23723,37.2231,0.17236,4.40373,6.61703,11485.6310517,9999999999.36,0.176470588235
0.59179,1.09999,84.77653,0.45775,17.75314,37.92418,0.91438,4.8668,14.64964,3874.03666397,9999999999.61,0.0
0.36026,1.19313,84.42215,0.67036,39.34782,40.24727,0.53822,4.71119,10.41783,10180.0526549,9999999999.34,0.210526315789
0.85641,1.23768,89.89703,0.60865,43.97313,9.79248,1.60524,4.91904,17.70825,29012.7390916,9999999999.42,0.526315789474
0.89492,1.19934,84.93321,0.66294,24.0334,7.61824,0.74384,0.44351,4.53827,10499.9965641,9999999999.41,0.46875
0.85324,0.88266,93.96077,0.65467,40.24015,15.46007,0.42985,2.22567,3.94264,2307.90073068,9999999999.29,0.5
0.1174,0.85768,94.34628,0.56841,72.00472,44.73498,1.81774,2.77987,14.38792,3832.59279562,9999999999.33,0.173913043478
0.32129,1.0191,89.11809,0.58596,22.744,21.51232,0.07722,2.81523,12.93291,5920.88986584,9999999999.27,0.0
0.25761,1.12022,80.65645,0.59305,75.35549,44.03413,1.38005,0.06053,1.32916,10569.9618993,9999999999.26,0.176470588235
0.17259,1.18698,82.5006,0.52204,52.77413,33.20728,0.07559,3.62855,4.65049,9753.01842488,9999999999.28,0.4375
0.69774,1.04251,92.64397,0.69278,52.77305,20.65073,1.37028,2.47453,16.61461,13171.4715478,9999999999.44,0.30612244898
0.29747,1.25924,80.10795,0.4239,35.1982,17.20372,0.35678,1.86142,7.75497,14344.5121163,9999999999.17,0.0
0.30408,1.02244,84.10858,0.69883,64.84171,29.97272,0.12905,1.23034,7.54907,4563.69302696,9999999999.34,0.4375
0.37887,1.15708,80.17047,0.63835,26.02019,47.93254,0.14771,0.55727,6.3741,8866.47571526,9999999999.58,0.181818181818
0.62744,1.10803,88.5589,0.53701,37.73823,17.48338,1.39027,0.83908,3.07309,10981.666652,9999999999.43,0.552941176471
0.57498,1.11382,93.12683,0.46417,6.82439,49.91403,1.29459,3.04044,3.92741,11747.7487028,9999999999.48,0.527027027027
0.57667,1.09331,85.77747,0.53609,59.20943,35.066,0.26683,2.47646,17.07175,7591.33992006,9999999999.5,0.3125
0.16278,1.09223,91.95532,0.56205,3.87286,48.02105,1.32372,1.16983,6.49131,11169.4516063,9999999999.4,0.246153846154
0.70871,0.97963,83.98738,0.54745,32.96036,21.61316,1.99403,4.17955,5.13859,5056.84242816,9999999999.46,0.322580645161
0.31638,1.21477,85.56091,0.57055,88.21845,37.90016,1.67597,4.30044,16.53917,17430.0559173,9999999999.38,0.102040816327
0.76651,1.09567,82.39417,0.57539,59.45744,15.906,0.95043,1.25825,13.21277,8528.15558432,9999999999.38,0.5
0.35434,1.04481,94.32555,0.51492,2.62974,18.2491,1.14868,0.53897,13.51372,7029.29477431,9999999999.28,0.0
0.68837,1.1636,80.83364,0.45151,29.83888,29.25077,0.02677,1.47558,4.98802,8678.59320723,9999999999.51,0.3
0.7527,1.13409,89.30525,0.56659,4.13485,28.56851,1.49063,2.30005,18.06324,13785.0807905,9999999999.42,0.0444444444444
0.76218,1.21061,82.62576,0.69749,52.44581,12.4941,0.03575,1.85169,16.90374,16496.9549254,9999999999.38,0.461538461538
0.10304,0.82759,90.69171,0.49658,76.84207,4.82296,1.67615,0.36063,17.69911,4428.33833243,9999999999.04,0.125
0.16238,1.12019,83.98336,0.69645,23.00386,24.17505,0.89504,1.75494,4.19209,9263.64041604,9999999999.37,0.588235294118
0.79187,0.96277,90.62076,0.69452,82.79166,21.25866,1.97884,2.37427,17.84755,8658.19315486,9999999999.45,0.222222222222
0.61178,1.03073,84.86628,0.42241,14.79902,39.50878,0.31878,3.67782,2.27925,5553.75621907,9999999999.34,0.642857142857
0.83641,0.97717,90.9879,0.44743,42.47595,7.50461,1.7048,1.28283,18.84258,7891.06978364,9999999999.34,0.364864864865
0.80447,1.12819,94.28825,0.68913,62.41647,25.56188,0.39571,1.79996,9.63911,12082.1895616,9999999999.61,0.0
0.47874,0.99097,87.61763,0.6029,15.86258,32.14212,1.25849,1.93136,6.45408,6557.86218017,9999999999.43,0.453333333333
0.60135,1.03199,80.22899,0.44558,68.92326,49.94346,0.98353,2.36963,19.13836,4818.99013235,9999999999.76,0.285714285714
0.39184,1.03422,90.25655,0.59056,9.74645,8.57483,0.60957,0.51692,10.80806,4483.70693537,9999999999.21,0.0882352941176
0.42601,0.95253,84.28738,0.44995,62.5179,36.86156,0.59856,4.81276,11.99643,3127.29101616,9999999999.53,0.0
0.77372,1.18045,88.46328,0.57793,38.08786,39.72718,1.67384,4.66651,13.46001,18478.7546867,9999999999.45,0.0357142857143
0.14459,0.82749,90.95863,0.57286,35.94283,13.62546,0.04909,4.48479,5.49897,2609.60139294,9999999999.1,0.0625
0.82672,1.2445,80.94354,0.60423,14.35747,43.88668,0.05976,0.6711,1.331,8184.04874805,9999999999.0,0.0
0.18967,1.2509,91.84521,0.56129,4.40926,25.35248,1.57185,0.98081,3.28114,20967.7779497,9999999999.19,0.0
0.56682,0.9368,82.28759,0.58862,67.85025,26.2217,0.22372,3.1426,13.15854,2645.18188167,9999999999.44,0.0
0.6156,0.93973,94.31508,0.45342,27.022,49.46923,0.78916,0.92345,11.80714,3010.59347888,9999999999.59,0.363636363636
0.13709,0.83314,91.43947,0.57083,89.07342,20.05168,1.76577,2.71112,18.70301,3427.51322805,9999999999.29,0.477272727273
0.27523,1.24735,94.24514,0.45691,56.19189,24.27384,1.05052,4.85532,17.84205,28905.2237019,9999999999.25,0.0
0.27719,1.02658,82.51943,0.48196,31.96226,26.16835,1.65993,1.36616,14.49548,7704.78115344,9999999999.33,0.460674157303
0.85639,0.87942,93.90805,0.4802,67.90526,40.72137,0.18537,0.04543,5.712,3452.65907625,9999999999.65,0.0
0.47465,0.94989,82.6208,0.53065,80.71419,16.59928,0.38951,2.40687,18.63998,4322.65003269,9999999999.44,0.264705882353
0.1623,1.01606,83.66516,0.69658,16.92691,17.09872,1.52333,1.37866,10.3274,7152.07162553,9999999999.2,0.104166666667
0.58231,1.24637,91.67008,0.61419,2.41283,14.8322,1.62872,2.11586,13.23411,24424.0285626,9999999999.28,0.121212121212
0.17173,0.88837,85.58706,0.45091,7.17643,16.55724,0.73706,0.01868,14.34903,3058.36602741,9999999999.17,0.133333333333
0.13106,1.18765,84.05048,0.63194,51.64588,17.39475,0.04174,1.62781,6.87518,11011.467763,9999999999.21,0.260869565217
0.65017,0.92643,84.43632,0.59032,16.64292,37.4394,0.48909,1.71124,1.09542,3448.10418379,9999999999.42,0.272727272727
0.39157,1.25283,81.02459,0.43086,4.84655,17.88074,1.20513,2.37905,1.72734,22407.0674928,9999999999.21,0.2
0.62997,1.01794,82.01925,0.52942,73.99568,4.92043,1.39584,4.42675,4.82117,7053.83494859,9999999999.11,0.0232558139535
0.13558,0.96409,89.72935,0.46453,47.7219,44.26064,0.56185,4.48305,18.66564,5364.69058708,9999999999.18,0.0
0.2437,0.83028,84.21495,0.40661,10.91499,16.91315,0.64259,3.81241,11.48751,2094.16785095,9999999999.32,0.325
0.60384,0.97349,84.10264,0.61927,93.27137,36.5408,1.75867,1.12324,13.53165,5857.68977484,9999999999.51,0.125
0.49767,0.98965,80.20412,0.49343,90.69113,34.70445,0.46331,4.72783,17.39372,5248.57808055,9999999999.58,0.142857142857
0.19355,1.04342,88.86332,0.67217,45.90503,41.52277,0.07125,3.31495,10.71347,5496.57082647,9999999999.37,0.0909090909091
0.34155,1.19135,93.54713,0.69089,84.61432,26.16383,1.68451,4.91432,12.81836,18284.0008308,9999999999.35,0.0
0.19006,1.25979,82.65049,0.65855,98.05345,16.97332,1.44594,1.61342,2.03865,24989.7887328,9999999999.17,0.333333333333
0.27974,1.18835,80.15766,0.61281,54.1579,12.88223,0.59808,4.94477,11.84307,11211.1511168,9999999999.11,0.333333333333
0.86878,1.07198,90.47178,0.51555,17.14487,18.27697,0.60781,4.49345,13.0202,9470.73998774,9999999999.32,0.0
0.24813,0.91952,85.29143,0.43574,0.28226,2.77948,1.16037,0.3691,2.26527,4200.91663185,9999999999.05,0.583333333333
0.10999,1.07261,81.30038,0.61797,65.9663,39.29494,0.93527,2.7591,19.50923,7469.83582483,9999999999.34,0.533333333333
0.5483,0.977,91.97523,0.67101,44.25743,6.59344,0.17028,0.17819,2.58693,6459.64859987,9999999999.21,0.428571428571
0.65746,0.89329,88.95256,0.51722,77.72191,48.30101,1.76464,3.2042,5.52617,3921.31124006,9999999999.66,0.25
0.72931,1.18349,86.9528,0.49204,79.77092,36.05632,1.54646,4.51454,8.60866,17814.7031208,9999999999.56,0.125
0.71074,1.10001,90.86614,0.64301,7.93215,37.62673,1.97301,3.8211,12.00236,12512.4029465,9999999999.49,0.0
0.6455,1.16394,89.34382,0.43938,0.10879,14.28505,1.12919,4.25658,17.61908,14993.5743838,9999999999.4,0.037037037037
0.87998,0.95886,81.17042,0.52517,50.35484,26.96964,0.69153,1.10261,10.34709,3970.82954173,9999999999.45,0.272727272727
0.15074,1.06753,83.1679,0.55182,89.2556,2.64532,0.29562,0.70306,4.69066,6668.90792197,9999999999.03,0.529411764706
0.83973,1.02331,88.20936,0.54926,40.95978,5.06606,0.42157,1.5197,3.09758,4688.90568633,9999999999.25,0.565217391304
0.72762,1.19709,87.41,0.48326,58.00607,34.70274,0.24435,3.0347,19.64019,13270.5272716,9999999999.48,0.538461538462
0.34996,1.23425,94.15269,0.62681,94.20408,42.71697,0.75231,0.47602,16.55978,8483.42592212,9999999999.35,0.0
0.71907,1.10322,86.26683,0.41903,18.12568,6.19406,0.48477,1.15808,18.87808,5624.31115354,9999999999.29,0.647058823529
0.13488,1.24106,81.61932,0.61036,2.35474,2.56851,0.4592,1.90586,3.63379,11921.5195944,9999999999.03,0.0
0.3789,0.98562,94.1828,0.46687,89.38635,20.07668,1.03743,4.06911,9.96368,6472.38866379,9999999999.42,0.427184466019
0.13786,1.11544,87.0132,0.50468,9.30905,23.12419,1.04496,1.80961,11.24718,12969.9415676,9999999999.14,0.0967741935484
0.62419,1.25089,87.41688,0.56151,47.67817,37.85901,0.42536,0.79872,6.87316,16680.2269675,9999999999.53,0.0909090909091
0.27541,1.12478,86.82223,0.55971,5.98814,16.39506,1.49328,3.04552,10.83557,12917.7307349,9999999999.24,0.245614035088
0.57798,0.83858,88.06785,0.56474,46.03328,3.48391,0.06185,3.25411,18.73578,2889.9193517,9999999999.16,0.297297297297
0.77856,1.22083,88.16075,0.40734,86.19846,37.15261,1.43348,1.2878,4.91526,19171.0209835,9999999999.61,0.409836065574
0.89134,1.12643,80.70975,0.61393,1.60601,41.87568,1.05687,4.03248,4.71188,11070.1848493,9999999999.76,0.0
0.41278,1.17791,89.1117,0.41422,41.01927,41.91988,1.7801,0.1241,2.97887,13315.6389236,9999999999.5,0.428571428571
0.11755,1.14036,89.14442,0.50378,1.10591,27.12763,0.65253,3.23132,9.03384,8243.06782658,9999999999.18,0.176470588235
